local_time	last_changed	flag	category	scope	sector	car_number	event_id	state	message
09-11 19:16:16	2026-09-11T11:16:16.086485+00:00		Other				2026-09-11T11:16:14|Other|PINK HEAD PADDING MATERIAL MUST BE USED	PINK HEAD PADDING MATERIAL MUST BE USED	PINK HEAD PADDING MATERIAL MUST BE USED
09-11 19:26:51	2026-09-11T11:26:51.775800+00:00		Other				2026-09-11T11:26:50|Other|TRACK SURFACE SLIPPERY IN TRACK SECTOR 0	TRACK SURFACE SLIPPERY IN TRACK SECTOR 0	TRACK SURFACE SLIPPERY IN TRACK SECTOR 0
09-11 19:26:51	2026-09-11T11:26:51.928710+00:00		Other				2026-09-11T11:26:50|Other|TRACK SURFACE SLIPPERY IN TRACK SECTOR 26	TRACK SURFACE SLIPPERY IN TRACK SECTOR 26	TRACK SURFACE SLIPPERY IN TRACK SECTOR 26
09-11 19:26:54	2026-09-11T11:26:54.910948+00:00	CLEAR	Flag	Sector	26		2026-09-11T11:26:52|Flag|CLEAR IN TRACK SECTOR 26	CLEAR IN TRACK SECTOR 26	CLEAR IN TRACK SECTOR 26
09-11 19:26:55	2026-09-11T11:26:55.927782+00:00		Other				2026-09-11T11:26:54|Other|TRACK SURFACE SLIPPERY IN TRACK SECTOR 22	TRACK SURFACE SLIPPERY IN TRACK SECTOR 22	TRACK SURFACE SLIPPERY IN TRACK SECTOR 22
09-11 19:30:02	2026-09-11T11:30:02.802856+00:00	GREEN	Flag	Track			2026-09-11T11:30:00|Flag|GREEN LIGHT - PIT EXIT OPEN	GREEN LIGHT - PIT EXIT OPEN	GREEN LIGHT - PIT EXIT OPEN
09-11 19:33:17	2026-09-11T11:33:17.627363+00:00	CLEAR	Flag	Sector	22		2026-09-11T11:33:15|Flag|CLEAR IN TRACK SECTOR 22	CLEAR IN TRACK SECTOR 22	CLEAR IN TRACK SECTOR 22
09-11 19:36:21	2026-09-11T11:36:21.376377+00:00		Other				2026-09-11T11:36:19|Other|CAR 12 (ANT) TIME 1:57.307 DELETED - TRACK LIMITS AT TURN 18 LAP 3 13:34:28	CAR 12 (ANT) TIME 1:57.307 DELETED - TRACK LIMITS AT TURN 18 LAP 3 13:34:28	CAR 12 (ANT) TIME 1:57.307 DELETED - TRACK LIMITS AT TURN 18 LAP 3 13:34:28
09-11 19:38:46	2026-09-11T11:38:46.449371+00:00		Other				2026-09-11T11:38:44|Other|CAR 16 (LEC) TIME 2:13.896 DELETED - TRACK LIMITS AT TURN 6 LAP 5 13:36:42	CAR 16 (LEC) TIME 2:13.896 DELETED - TRACK LIMITS AT TURN 6 LAP 5 13:36:42	CAR 16 (LEC) TIME 2:13.896 DELETED - TRACK LIMITS AT TURN 6 LAP 5 13:36:42
09-11 19:40:07	2026-09-11T11:40:07.850886+00:00		Other				2026-09-11T11:40:06|Other|CAR 63 (RUS) TIME 2:26.963 DELETED - TRACK LIMITS AT TURN 5 LAP 6 13:37:50	CAR 63 (RUS) TIME 2:26.963 DELETED - TRACK LIMITS AT TURN 5 LAP 6 13:37:50	CAR 63 (RUS) TIME 2:26.963 DELETED - TRACK LIMITS AT TURN 5 LAP 6 13:37:50
09-11 19:40:11	2026-09-11T11:40:11.326514+00:00		Other				2026-09-11T11:40:09|Other|CAR 1 (NOR) TIME 1:37.251 DELETED - TRACK LIMITS AT TURN 15 LAP 5 13:38:23	CAR 1 (NOR) TIME 1:37.251 DELETED - TRACK LIMITS AT TURN 15 LAP 5 13:38:23	CAR 1 (NOR) TIME 1:37.251 DELETED - TRACK LIMITS AT TURN 15 LAP 5 13:38:23
09-11 19:44:11	2026-09-11T11:44:11.544876+00:00		Other				2026-09-11T11:44:09|Other|CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 5 LAP 7 13:41:22 (PIT)	CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 5 LAP 7 13:41:22 (PIT)	CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 5 LAP 7 13:41:22 (PIT)
09-11 19:44:41	2026-09-11T11:44:41.551950+00:00		Other				2026-09-11T11:44:39|Other|CAR 12 (ANT) TIME 1:56.611 DELETED - TRACK LIMITS AT TURN 5 LAP 7 13:41:43	CAR 12 (ANT) TIME 1:56.611 DELETED - TRACK LIMITS AT TURN 5 LAP 7 13:41:43	CAR 12 (ANT) TIME 1:56.611 DELETED - TRACK LIMITS AT TURN 5 LAP 7 13:41:43
