local_time	last_changed	flag	category	scope	sector	car_number	event_id	state	message
09-24 16:17:42	2026-09-24T08:17:42.037138+00:00		Other				2026-09-24T08:17:40|Other|PINK HEAD PADDING MATERIAL MUST BE USED	PINK HEAD PADDING MATERIAL MUST BE USED	PINK HEAD PADDING MATERIAL MUST BE USED
09-24 16:22:10	2026-09-24T08:22:10.212279+00:00	YELLOW	Flag	Sector	10		2026-09-24T08:22:08|Flag|YELLOW IN TRACK SECTOR 10	YELLOW IN TRACK SECTOR 10	YELLOW IN TRACK SECTOR 10
09-24 16:22:20	2026-09-24T08:22:20.872375+00:00	DOUBLE YELLOW	Flag	Sector	19		2026-09-24T08:22:19|Flag|DOUBLE YELLOW IN TRACK SECTOR 19	DOUBLE YELLOW IN TRACK SECTOR 19	DOUBLE YELLOW IN TRACK SECTOR 19
09-24 16:22:20	2026-09-24T08:22:20.918705+00:00	YELLOW	Flag	Sector	18		2026-09-24T08:22:19|Flag|YELLOW IN TRACK SECTOR 18	YELLOW IN TRACK SECTOR 18	YELLOW IN TRACK SECTOR 18
09-24 16:22:25	2026-09-24T08:22:25.796867+00:00	CLEAR	Flag	Sector	10		2026-09-24T08:22:24|Flag|CLEAR IN TRACK SECTOR 10	CLEAR IN TRACK SECTOR 10	CLEAR IN TRACK SECTOR 10
09-24 16:22:39	2026-09-24T08:22:39.223209+00:00	CLEAR	Flag	Sector	18		2026-09-24T08:22:37|Flag|CLEAR IN TRACK SECTOR 18	CLEAR IN TRACK SECTOR 18	CLEAR IN TRACK SECTOR 18
09-24 16:24:14	2026-09-24T08:24:14.454229+00:00	CLEAR	Flag	Sector	3		2026-09-24T08:24:12|Flag|CLEAR IN TRACK SECTOR 3	CLEAR IN TRACK SECTOR 3	CLEAR IN TRACK SECTOR 3
09-24 16:24:17	2026-09-24T08:24:17.440839+00:00	CLEAR	Flag	Sector	7		2026-09-24T08:24:15|Flag|CLEAR IN TRACK SECTOR 7	CLEAR IN TRACK SECTOR 7	CLEAR IN TRACK SECTOR 7
09-24 16:24:21	2026-09-24T08:24:21.960257+00:00	CLEAR	Flag	Sector	8		2026-09-24T08:24:20|Flag|CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8
09-24 16:24:23	2026-09-24T08:24:23.133699+00:00	CLEAR	Flag	Sector	9		2026-09-24T08:24:21|Flag|CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9
09-24 16:24:25	2026-09-24T08:24:25.556859+00:00	CLEAR	Flag	Sector	19		2026-09-24T08:24:23|Flag|CLEAR IN TRACK SECTOR 19	CLEAR IN TRACK SECTOR 19	CLEAR IN TRACK SECTOR 19
09-24 16:30:02	2026-09-24T08:30:02.564749+00:00	GREEN	Flag	Track			2026-09-24T08:30:00|Flag|GREEN LIGHT - PIT EXIT OPEN	GREEN LIGHT - PIT EXIT OPEN	GREEN LIGHT - PIT EXIT OPEN
09-24 16:53:41	2026-09-24T08:53:41.312694+00:00	DOUBLE YELLOW	Flag	Sector	9		2026-09-24T08:53:39|Flag|DOUBLE YELLOW IN TRACK SECTOR 9	DOUBLE YELLOW IN TRACK SECTOR 9	DOUBLE YELLOW IN TRACK SECTOR 9
09-24 16:53:41	2026-09-24T08:53:41.314648+00:00	YELLOW	Flag	Sector	8		2026-09-24T08:53:39|Flag|YELLOW IN TRACK SECTOR 8	YELLOW IN TRACK SECTOR 8	YELLOW IN TRACK SECTOR 8
09-24 16:54:19	2026-09-24T08:54:19.703969+00:00		SafetyCar				2026-09-24T08:54:17|SafetyCar|VSC DEPLOYED	VSC DEPLOYED	VSC DEPLOYED
09-24 16:54:31	2026-09-24T08:54:31.510549+00:00		Other				2026-09-24T08:54:29|Other|MARSHALS ON TRACK AT TURN 7	MARSHALS ON TRACK AT TURN 7	MARSHALS ON TRACK AT TURN 7
09-24 16:55:43	2026-09-24T08:55:43.824267+00:00		SafetyCar				2026-09-24T08:55:42|SafetyCar|VSC ENDING	VSC ENDING	VSC ENDING
09-24 16:55:57	2026-09-24T08:55:57.107888+00:00	CLEAR	Flag	Track			2026-09-24T08:55:55|Flag|TRACK CLEAR	TRACK CLEAR	TRACK CLEAR
09-24 16:55:57	2026-09-24T08:55:57.230078+00:00	CLEAR	Flag	Sector	8		2026-09-24T08:55:55|Flag|CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8	CLEAR IN TRACK SECTOR 8
09-24 16:55:57	2026-09-24T08:55:57.247036+00:00	CLEAR	Flag	Sector	9		2026-09-24T08:55:55|Flag|CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9	CLEAR IN TRACK SECTOR 9
09-24 16:55:59	2026-09-24T08:55:59.851817+00:00		Other				2026-09-24T08:55:57|Other|OVERTAKE ENABLED	OVERTAKE ENABLED	OVERTAKE ENABLED
